drug1_name,drug2_name,smiles1,smiles2,interaction_type,severity
Icotinib,Delavirdine,C#CC1=CC(=CC=C1)NC2=NC=NC3=CC4=C(C=C32)OCCOCCOCCO4,CC(C)NC1=C(N=CC=C1)N2CCN(CC2)C(=O)C3=CC4=C(N3)C=CC(=C4)NS(=O)(=O)C,The metabolism of Delavirdine can be decreased when combined with Icotinib.,moderate
Olanzapine,Saxagliptin,CC1=CC2=C(S1)NC3=CC=CC=C3N=C2N4CCN(CC4)C,C1C2CC2N(C1C#N)C(=O)C(C34CC5CC(C3)CC(C5)(C4)O)N,The therapeutic efficacy of Saxagliptin can be decreased when used in combinatio,mild
Trimipramine,Telaprevir,CC(CN1C2=CC=CC=C2CCC3=CC=CC=C31)CN(C)C,CCCC(C(=O)C(=O)NC1CC1)NC(=O)C2C3CCCC3CN2C(=O)C(C(C)(C)C)NC(=O)C(C4CCCCC4)NC(=O)C5=NC=CN=C5,The metabolism of Telaprevir can be decreased when combined with Trimipramine.,moderate
Aliskiren,Meclofenamic acid,CC(C)C(CC1=CC(=C(C=C1)OC)OCCCOC)CC(C(CC(C(C)C)C(=O)NCC(C)(C)C(=O)N)O)N,CC1=C(C(=C(C=C1)Cl)NC2=CC=CC=C2C(=O)O)Cl,Aliskiren may decrease the antihypertensive activities of Meclofenamic acid.,mild
Ranolazine,Lopinavir,CC1=C(C(=CC=C1)C)NC(=O)CN2CCN(CC2)CC(COC3=CC=CC=C3OC)O,CC1=C(C(=CC=C1)C)OCC(=O)NC(CC2=CC=CC=C2)C(CC(CC3=CC=CC=C3)NC(=O)C(C(C)C)N4CCCNC4=O)O,The serum concentration of Lopinavir can be increased when it is combined with R,dangerous
Levonorgestrel,Sitagliptin,CCC12CCC3C(C1CCC2(C#C)O)CCC4=CC(=O)CCC34,C1CN2C(=NN=C2C(F)(F)F)CN1C(=O)CC(CC3=CC(=C(C=C3F)F)F)N,The therapeutic efficacy of Sitagliptin can be decreased when used in combinatio,mild
Midostaurin,Codeine,CC12C(C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)N(C)C(=O)C9=CC=CC=C9)OC,CN1CCC23C4C1CC5=C2C(=C(C=C5)OC)OC3C(C=C4)O,The therapeutic efficacy of Codeine can be decreased when used in combination wi,mild
Podofilox,Itraconazole,COC1=CC(=CC(=C1OC)OC)C2C3C(COC3=O)C(C4=CC5=C(C=C24)OCO5)O,CCC(C)N1C(=O)N(C=N1)C2=CC=C(C=C2)N3CCN(CC3)C4=CC=C(C=C4)OCC5COC(O5)(CN6C=NC=N6)C7=C(C=C(C=C7)Cl)Cl,The metabolism of Itraconazole can be decreased when combined with Podofilox.,moderate
Trimethaphan,Butorphanol,C1CC2C3C(C[S+]2C1)N(C(=O)N3CC4=CC=CC=C4)CC5=CC=CC=C5,C1CCC2(C3CC4=C(C2(C1)CCN3CC5CCC5)C=C(C=C4)O)O,The risk or severity of adverse effects can be increased when Trimethaphan is co,dangerous
Ubidecarenone,Danazol,CC1=C(C(=O)C(=C(C1=O)OC)OC)CC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C,CC12CCC3C(C1CCC2(C#C)O)CCC4=CC5=C(CC34C)C=NO5,The serum concentration of Danazol can be increased when it is combined with Ubi,dangerous
Physostigmine,Aclidinium,CC12CCN(C1N(C3=C2C=C(C=C3)OC(=O)NC)C)C,C1C[N+]2(CCC1C(C2)OC(=O)C(C3=CC=CS3)(C4=CC=CS4)O)CCCOC5=CC=CC=C5,The therapeutic efficacy of Aclidinium can be decreased when used in combination,mild
Methohexital,Estradiol,CCC#CC(C)C1(C(=O)NC(=O)N(C1=O)C)CC=C,CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,The therapeutic efficacy of Estradiol can be decreased when used in combination ,mild
Choline magnesium trisalicylate,Quinethazone,C[N+](C)(C)CCO.C1=CC=C(C(=C1)C(=O)O)[O-].C1=CC=C(C(=C1)C(=O)O)[O-].C1=CC=C(C(=C1)C(=O)O)[O-].[Mg+2],CCC1NC2=CC(=C(C=C2C(=O)N1)S(=O)(=O)N)Cl,The therapeutic efficacy of Quinethazone can be decreased when used in combinati,mild
Pindolol,Salsalate,CC(C)NCC(COC1=CC=CC2=C1C=CN2)O,C1=CC=C(C(=C1)C(=O)OC2=CC=CC=C2C(=O)O)O,Pindolol may decrease the antihypertensive activities of Salsalate.,mild
Calcium lactate,Efonidipine,CC(C(=O)[O-])O.CC(C(=O)[O-])O.[Ca+2],CC1=C(C(C(=C(N1)C)P2(=O)OCC(CO2)(C)C)C3=CC(=CC=C3)[N+](=O)[O-])C(=O)OCCN(CC4=CC=CC=C4)C5=CC=CC=C5,The therapeutic efficacy of Efonidipine can be decreased when used in combinatio,mild
Eplerenone,Felodipine,CC12CCC(=O)C=C1CC(C3C24C(O4)CC5(C3CCC56CCC(=O)O6)C)C(=O)OC,CCOC(=O)C1=C(NC(=C(C1C2=C(C(=CC=C2)Cl)Cl)C(=O)OC)C)C,The risk or severity of adverse effects can be increased when Eplerenone is comb,dangerous
Ethinylestradiol,Rosiglitazone,CC12CCC3C(C1CCC2(C#C)O)CCC4=C3C=CC(=C4)O,CN(CCOC1=CC=C(C=C1)CC2C(=O)NC(=O)S2)C3=CC=CC=N3,The therapeutic efficacy of Rosiglitazone can be decreased when used in combinat,mild
Olanzapine,Quinagolide,CC1=CC2=C(S1)NC3=CC=CC=C3N=C2N4CCN(CC4)C,CCCN1CC(CC2C1CC3=C(C2)C(=CC=C3)O)NS(=O)(=O)N(CC)CC,The therapeutic efficacy of Quinagolide can be decreased when used in combinatio,mild
Spironolactone,Nabumetone,CC(=O)SC1CC2=CC(=O)CCC2(C3C1C4CCC5(C4(CC3)C)CCC(=O)O5)C,CC(=O)CCC1=CC2=C(C=C1)C=C(C=C2)OC,Spironolactone may decrease the antihypertensive activities of Nabumetone.,mild
Benzphetamine,Olanzapine,CC(CC1=CC=CC=C1)N(C)CC2=CC=CC=C2,CC1=CC2=C(S1)NC3=CC=CC=C3N=C2N4CCN(CC4)C,Benzphetamine may decrease the stimulatory activities of Olanzapine.,mild
Phentermine,Tripelennamine,CC(C)(CC1=CC=CC=C1)N,CN(C)CCN(CC1=CC=CC=C1)C2=CC=CC=N2,Phentermine may decrease the sedative activities of Tripelennamine.,mild
Promazine,Bismuth subcitrate potassium,CN(C)CCCN1C2=CC=CC=C2SC3=CC=CC=C31,C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])[O-].C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])[O-].[K+].[K+].[K+].[K+].[K+].[Bi+3],Promazine can cause a decrease in the absorption of Bismuth subcitrate potassium,moderate
Bromocriptine,Thioproperazine,CC(C)CC1C(=O)N2CCCC2C3(N1C(=O)C(O3)(C(C)C)NC(=O)C4CN(C5CC6=C(NC7=CC=CC(=C67)C5=C4)Br)C)O,CN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)S(=O)(=O)N(C)C,The therapeutic efficacy of Thioproperazine can be decreased when used in combin,mild
Metoprolol,Aminophylline,CC(C)NCC(COC1=CC=C(C=C1)CCOC)O,CN1C2=C(C(=O)N(C1=O)C)NC=N2.CN1C2=C(C(=O)N(C1=O)C)NC=N2.C(CN)N,Metoprolol may decrease the bronchodilatory activities of Aminophylline.,mild
Sulfisoxazole,Testosterone propionate,CC1=C(ON=C1C)NS(=O)(=O)C2=CC=C(C=C2)N,CCC(=O)OC1CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C,Sulfisoxazole may increase the hypoglycemic activities of Testosterone propionat,dangerous
Ergotamine,Methazolamide,CC1(C(=O)N2C(C(=O)N3CCCC3C2(O1)O)CC4=CC=CC=C4)NC(=O)C5CN(C6CC7=CNC8=CC=CC(=C78)C6=C5)C,CC(=O)N=C1N(N=C(S1)S(=O)(=O)N)C,The risk or severity of adverse effects can be increased when Ergotamine is comb,dangerous
Dofetilide,Dolutegravir,CN(CCC1=CC=C(C=C1)NS(=O)(=O)C)CCOC2=CC=C(C=C2)NS(=O)(=O)C,CC1CCOC2N1C(=O)C3=C(C(=O)C(=CN3C2)C(=O)NCC4=C(C=C(C=C4)F)F)O,The serum concentration of Dolutegravir can be increased when it is combined wit,dangerous
Rifampicin,Sulfinpyrazone,CC1C=CC=C(C(=O)NC2=C(C(=C3C(=C2O)C(=C(C4=C3C(=O)C(O4)(OC=CC(C(C(C(C(C(C1O)C)O)C)OC(=O)C)C)OC)C)C)O)O)C=NN5CCN(CC5)C)C,C1=CC=C(C=C1)N2C(=O)C(C(=O)N2C3=CC=CC=C3)CCS(=O)C4=CC=CC=C4,The metabolism of Sulfinpyrazone can be increased when combined with Rifampicin.,dangerous
Prednisone,Voglibose,CC12CC(=O)C3C(C1CCC2(C(=O)CO)O)CCC4=CC(=O)C=CC34C,C1C(C(C(C(C1(CO)O)O)O)O)NC(CO)CO,The therapeutic efficacy of Voglibose can be decreased when used in combination ,mild
Chlorzoxazone,Iloperidone,C1=CC2=C(C=C1Cl)NC(=O)O2,CC(=O)C1=CC(=C(C=C1)OCCCN2CCC(CC2)C3=NOC4=C3C=CC(=C4)F)OC,The risk or severity of adverse effects can be increased when Chlorzoxazone is c,dangerous
Carprofen,Iloprost,CC(C1=CC2=C(C=C1)C3=C(N2)C=CC(=C3)Cl)C(=O)O,CC#CCC(C)C(C=CC1C(CC2C1CC(=CCCCC(=O)O)C2)O)O,The therapeutic efficacy of Iloprost can be decreased when used in combination w,mild
Perphenazine,Stiripentol,C1CN(CCN1CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)Cl)CCO,CC(C)(C)C(C=CC1=CC2=C(C=C1)OCO2)O,The serum concentration of Stiripentol can be increased when it is combined with,dangerous
Prazosin,Pseudoephedrine,COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCN(CC3)C(=O)C4=CC=CO4)N)OC,CC(C(C1=CC=CC=C1)O)NC,Prazosin may decrease the vasoconstricting activities of Pseudoephedrine.,mild
Metamfetamine,Bupropion,CC(CC1=CC=CC=C1)NC,CC(C(=O)C1=CC(=CC=C1)Cl)NC(C)(C)C,The metabolism of Bupropion can be decreased when combined with Metamfetamine.,moderate
Epirizole,Latanoprostene bunod,CC1=CC(=NC(=N1)N2C(=CC(=N2)C)OC)OC,C1C(C(C(C1O)CC=CCCCC(=O)OCCCCO[N+](=O)[O-])CCC(CCC2=CC=CC=C2)O)O,The therapeutic efficacy of Latanoprostene bunod can be decreased when used in c,mild
Furazolidone,Valsartan,C1COC(=O)N1N=CC2=CC=C(O2)[N+](=O)[O-],CCCCC(=O)N(CC1=CC=C(C=C1)C2=CC=CC=C2C3=NNN=N3)C(C(C)C)C(=O)O,Furazolidone may increase the hypotensive activities of Valsartan.,dangerous
Eplerenone,Nebivolol,CC12CCC(=O)C=C1CC(C3C24C(O4)CC5(C3CCC56CCC(=O)O6)C)C(=O)OC,C1CC2=C(C=CC(=C2)F)OC1C(CNCC(C3CCC4=C(O3)C=CC(=C4)F)O)O,The risk or severity of adverse effects can be increased when Eplerenone is comb,dangerous
Butenafine,Cilnidipine,CC(C)(C)C1=CC=C(C=C1)CN(C)CC2=CC=CC3=CC=CC=C32,CC1=C(C(C(=C(N1)C)C(=O)OCC=CC2=CC=CC=C2)C3=CC(=CC=C3)[N+](=O)[O-])C(=O)OCCOC,The risk or severity of adverse effects can be increased when Butenafine is comb,dangerous
Enzalutamide,Sulfamethoxazole,CC1(C(=O)N(C(=S)N1C2=CC(=C(C=C2)C(=O)NC)F)C3=CC(=C(C=C3)C#N)C(F)(F)F)C,CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)N,The serum concentration of Sulfamethoxazole can be decreased when it is combined,moderate
Ketamine,Clotrimazole,CNC1(CCCCC1=O)C2=CC=CC=C2Cl,C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3Cl)N4C=CN=C4,The metabolism of Clotrimazole can be decreased when combined with Ketamine.,moderate
Olopatadine,Clotrimazole,CN(C)CCC=C1C2=CC=CC=C2COC3=C1C=C(C=C3)CC(=O)O,C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3Cl)N4C=CN=C4,The metabolism of Clotrimazole can be decreased when combined with Olopatadine.,moderate
Theophylline,Ziprasidone,CN1C2=C(C(=O)N(C1=O)C)NC=N2,C1CN(CCN1CCC2=C(C=C3C(=C2)CC(=O)N3)Cl)C4=NSC5=CC=CC=C54,The metabolism of Ziprasidone can be decreased when combined with Theophylline.,moderate
Metamfetamine,Triprolidine,CC(CC1=CC=CC=C1)NC,CC1=CC=C(C=C1)C(=CCN2CCCC2)C3=CC=CC=N3,Metamfetamine may decrease the sedative activities of Triprolidine.,mild
Labetalol,Zaltoprofen,CC(CCC1=CC=CC=C1)NCC(C2=CC(=C(C=C2)O)C(=O)N)O,CC(C1=CC2=C(C=C1)SC3=CC=CC=C3C(=O)C2)C(=O)O,Labetalol may decrease the antihypertensive activities of Zaltoprofen.,mild
Nicotine,Amiodarone,CN1CCCC1C2=CN=CC=C2,CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCCN(CC)CC)I,The metabolism of Amiodarone can be decreased when combined with Nicotine.,moderate
Deferasirox,Flunisolide,C1=CC=C(C(=C1)C2=NN(C(=N2)C3=CC=CC=C3O)C4=CC=C(C=C4)C(=O)O)O,CC1(OC2CC3C4CC(C5=CC(=O)C=CC5(C4C(CC3(C2(O1)C(=O)CO)C)O)C)F)C,The serum concentration of Flunisolide can be decreased when it is combined with,moderate
Prednisolone,Deslanoside,CC12CC(C3C(C1CCC2(C(=O)CO)O)CCC4=CC(=O)C=CC34C)O,CC1C(C(CC(O1)OC2CCC3(C(C2)CCC4C3CC(C5(C4(CCC5C6=CC(=O)OC6)O)C)O)C)O)OC7CC(C(C(O7)C)OC8CC(C(C(O8)C)OC9C(C(C(C(O9)CO)O)O)O)O)O,Prednisolone may decrease the cardiotoxic activities of Deslanoside.,dangerous
Buspirone,Ethotoin,C1CCC2(C1)CC(=O)N(C(=O)C2)CCCCN3CCN(CC3)C4=NC=CC=N4,CCN1C(=O)C(NC1=O)C2=CC=CC=C2,The risk or severity of adverse effects can be increased when Buspirone is combi,dangerous
Sufentanil,Risperidone,CCC(=O)N(C1=CC=CC=C1)C2(CCN(CC2)CCC3=CC=CS3)COC,CC1=C(C(=O)N2CCCCC2=N1)CCN3CCC(CC3)C4=NOC5=C4C=CC(=C5)F,Sufentanil may increase the hypotensive activities of Risperidone.,dangerous
Nicergoline,Paroxetine,CN1CC(CC2(C1CC3=CN(C4=CC=CC2=C34)C)OC)COC(=O)C5=CC(=CN=C5)Br,C1CNCC(C1C2=CC=C(C=C2)F)COC3=CC4=C(C=C3)OCO4,The metabolism of Paroxetine can be decreased when combined with Nicergoline.,moderate
Donepezil,Leflunomide,COC1=C(C=C2C(=C1)CC(C2=O)CC3CCN(CC3)CC4=CC=CC=C4)OC,CC1=C(C=NO1)C(=O)NC2=CC=C(C=C2)C(F)(F)F,The metabolism of Leflunomide can be decreased when combined with Donepezil.,moderate
Acetylcholine,Stiripentol,CC(=O)OCC[N+](C)(C)C,CC(C)(C)C(C=CC1=CC2=C(C=C1)OCO2)O,The metabolism of Stiripentol can be decreased when combined with Acetylcholine.,moderate
Ergotamine,Trandolapril,CC1(C(=O)N2C(C(=O)N3CCCC3C2(O1)O)CC4=CC=CC=C4)NC(=O)C5CN(C6CC7=CNC8=CC=CC(=C78)C6=C5)C,CCOC(=O)C(CCC1=CC=CC=C1)NC(C)C(=O)N2C3CCCCC3CC2C(=O)O,The serum concentration of Trandolapril can be increased when it is combined wit,dangerous
Nisoldipine,Ketoconazole,CC1=C(C(C(=C(N1)C)C(=O)OCC(C)C)C2=CC=CC=C2[N+](=O)[O-])C(=O)OC,CC(=O)N1CCN(CC1)C2=CC=C(C=C2)OCC3COC(O3)(CN4C=CN=C4)C5=C(C=C(C=C5)Cl)Cl,The serum concentration of Ketoconazole can be increased when it is combined wit,dangerous
Bezafibrate,Lopinavir,CC(C)(C(=O)O)OC1=CC=C(C=C1)CCNC(=O)C2=CC=C(C=C2)Cl,CC1=C(C(=CC=C1)C)OCC(=O)NC(CC2=CC=CC=C2)C(CC(CC3=CC=CC=C3)NC(=O)C(C(C)C)N4CCCNC4=O)O,The metabolism of Lopinavir can be decreased when combined with Bezafibrate.,moderate
Nortriptyline,Pirlindole,CNCCC=C1C2=CC=CC=C2CCC3=CC=CC=C31,CC1=CC2=C(C=C1)N3CCNC4C3=C2CCC4,Nortriptyline may increase the serotonergic activities of Pirlindole.,dangerous
Triamcinolone,Testosterone,CC12CC(C3(C(C1CC(C2(C(=O)CO)O)O)CCC4=CC(=O)C=CC43C)F)O,CC12CCC3C(C1CCC2O)CCC4=CC(=O)CCC34C,Triamcinolone may increase the fluid retaining activities of Testosterone.,dangerous
Mestranol,Gliquidone,CC12CCC3C(C1CCC2(C#C)O)CCC4=C3C=CC(=C4)OC,CC1(C2=C(C=C(C=C2)OC)C(=O)N(C1=O)CCC3=CC=C(C=C3)S(=O)(=O)NC(=O)NC4CCCCC4)C,The therapeutic efficacy of Gliquidone can be decreased when used in combination,mild
Mefloquine,Brivaracetam,C1CCNC(C1)C(C2=CC(=NC3=C2C=CC=C3C(F)(F)F)C(F)(F)F)O,CCCC1CC(=O)N(C1)C(CC)C(=O)N,The therapeutic efficacy of Brivaracetam can be decreased when used in combinati,mild
Atropine,Sufentanil,CN1C2CCC1CC(C2)OC(=O)C(CO)C3=CC=CC=C3,CCC(=O)N(C1=CC=CC=C1)C2(CCN(CC2)CCC3=CC=CS3)COC,The risk or severity of adverse effects can be increased when Atropine is combin,dangerous
Pentazocine,Dezocine,CC1C2CC3=C(C1(CCN2CC=C(C)C)C)C=C(C=C3)O,CC12CCCCCC(C1N)CC3=C2C=C(C=C3)O,The risk or severity of adverse effects can be increased when Pentazocine is com,dangerous
Diazepam,Esomeprazole,CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,CC1=CN=C(C(=C1OC)C)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC,The metabolism of Esomeprazole can be decreased when combined with Diazepam.,moderate
Imidafenacin,Fluconazole,CC1=NC=CN1CCC(C2=CC=CC=C2)(C3=CC=CC=C3)C(=O)N,C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O,The metabolism of Fluconazole can be decreased when combined with Imidafenacin.,moderate
Micafungin,Flunarizine,CCCCCOC1=CC=C(C=C1)C2=CC(=NO2)C3=CC=C(C=C3)C(=O)NC4CC(C(NC(=O)C5C(C(CN5C(=O)C(NC(=O)C(NC(=O)C6CC(CN6C(=O)C(NC4=O)C(C)O)O)C(C(C7=CC(=C(C=C7)O)OS(=O)(=O)O)O)O)C(CC(=O)N)O)C)O)O)O,C1CN(CCN1CC=CC2=CC=CC=C2)C(C3=CC=C(C=C3)F)C4=CC=C(C=C4)F,The risk or severity of adverse effects can be increased when Micafungin is comb,dangerous
Tadalafil,Verapamil,CN1CC(=O)N2C(C1=O)CC3=C(C2C4=CC5=C(C=C4)OCO5)NC6=CC=CC=C36,CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC,The metabolism of Verapamil can be decreased when combined with Tadalafil.,moderate
Hydroxyprogesterone caproate,Chlorpropamide,CCCCCC(=O)OC1(CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C)C(=O)C,CCCNC(=O)NS(=O)(=O)C1=CC=C(C=C1)Cl,The therapeutic efficacy of Chlorpropamide can be decreased when used in combina,mild
Minaprine,Rucaparib,CC1=CC(=NN=C1NCCN2CCOCC2)C3=CC=CC=C3,CNCC1=CC=C(C=C1)C2=C3CCNC(=O)C4=C3C(=CC(=C4)F)N2,The metabolism of Rucaparib can be decreased when combined with Minaprine.,moderate
Morphine,Diphenhydramine,CN1CCC23C4C1CC5=C2C(=C(C=C5)O)OC3C(C=C4)O,CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2,The metabolism of Diphenhydramine can be decreased when combined with Morphine.,moderate
Amobarbital,Benazepril,CCC1(C(=O)NC(=O)NC1=O)CCC(C)C,CCOC(=O)C(CCC1=CC=CC=C1)NC2CCC3=CC=CC=C3N(C2=O)CC(=O)O,Amobarbital may increase the hypotensive activities of Benazepril.,dangerous
Nifedipine,Midostaurin,CC1=C(C(C(=C(N1)C)C(=O)OC)C2=CC=CC=C2[N+](=O)[O-])C(=O)OC,CC12C(C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)N(C)C(=O)C9=CC=CC=C9)OC,The metabolism of Midostaurin can be decreased when combined with Nifedipine.,moderate
Yohimbine,Nitrazepam,COC(=O)C1C(CCC2C1CC3C4=C(CCN3C2)C5=CC=CC=C5N4)O,C1C(=O)NC2=C(C=C(C=C2)[N+](=O)[O-])C(=N1)C3=CC=CC=C3,The therapeutic efficacy of Nitrazepam can be decreased when used in combination,mild
Silodosin,Canagliflozin,CC(CC1=CC2=C(C(=C1)C(=O)N)N(CC2)CCCO)NCCOC3=CC=CC=C3OCC(F)(F)F,CC1=C(C=C(C=C1)C2C(C(C(C(O2)CO)O)O)O)CC3=CC=C(S3)C4=CC=C(C=C4)F,The serum concentration of Canagliflozin can be increased when it is combined wi,dangerous
Olanzapine,Dantrolene,CC1=CC2=C(S1)NC3=CC=CC=C3N=C2N4CCN(CC4)C,C1C(=O)NC(=O)N1N=CC2=CC=C(O2)C3=CC=C(C=C3)[N+](=O)[O-],The risk or severity of adverse effects can be increased when Olanzapine is comb,dangerous
Procaine benzylpenicillin,Ribostamycin,CCN(CC)CCOC(=O)C1=CC=C(C=C1)N.CC1(C(N2C(S1)C(C2=O)NC(=O)CC3=CC=CC=C3)C(=O)O)C,C1C(C(C(C(C1N)OC2C(C(C(C(O2)CN)O)O)N)OC3C(C(C(O3)CO)O)O)O)N,The serum concentration of Ribostamycin can be decreased when it is combined wit,moderate
Cobicistat,Diethylstilbestrol,CC(C)C1=NC(=CS1)CN(C)C(=O)NC(CCN2CCOCC2)C(=O)NC(CCC(CC3=CC=CC=C3)NC(=O)OCC4=CN=CS4)CC5=CC=CC=C5,CCC(=C(CC)C1=CC=C(C=C1)O)C2=CC=C(C=C2)O,The serum concentration of Diethylstilbestrol can be decreased when it is combin,moderate
Pentolinium,Pipecuronium,C[N+]1(CCCC1)CCCCC[N+]2(CCCC2)C,CC(=O)OC1CC2CCC3C(C2(CC1N4CC[N+](CC4)(C)C)C)CCC5(C3CC(C5OC(=O)C)N6CC[N+](CC6)(C)C)C,The risk or severity of adverse effects can be increased when Pentolinium is com,dangerous
Pomalidomide,Dronedarone,C1CC(=O)NC(=O)C1N2C(=O)C3=C(C2=O)C(=CC=C3)N,CCCCC1=C(C2=C(O1)C=CC(=C2)NS(=O)(=O)C)C(=O)C3=CC=C(C=C3)OCCCN(CCCC)CCCC,The metabolism of Dronedarone can be decreased when combined with Pomalidomide.,moderate
Rifabutin,Mycophenolic acid,CC1C=CC=C(C(=O)NC2=C(C3=C(C4=C(C(=C3O)C)OC(C4=O)(OC=CC(C(C(C(C(C(C1O)C)O)C)OC(=O)C)C)OC)C)C5=NC6(CCN(CC6)CC(C)C)N=C25)O)C,CC1=C2COC(=O)C2=C(C(=C1OC)CC=C(C)CCC(=O)O)O,The serum concentration of Mycophenolic acid can be decreased when it is combine,moderate
Fesoterodine,Isradipine,CC(C)C(=O)OC1=C(C=C(C=C1)CO)C(CCN(C(C)C)C(C)C)C2=CC=CC=C2,CC1=C(C(C(=C(N1)C)C(=O)OC(C)C)C2=CC=CC3=NON=C32)C(=O)OC,The metabolism of Isradipine can be decreased when combined with Fesoterodine.,moderate
